Smiles,logSw
O=C(NCCC(=O)OC)[C@H](N)CC(=O)O,0.11
O=C(CCCNC(=O)[C@H](N)CC(=O)O)OC,0.13
CC(C)OC(=O)C(C)CNC(=O)[C@H](N)CC(=O)O,0.18
O=C(NC(CCCNC(C)=O)C(=O)OC)[C@H](N)CC(=O)O,0.25
O=C(NC(CCCCNC(C)=O)C(=O)OC)[C@H](N)CC(=O)O,0.27
O=C(C)OCCNC(=O)[C@H](N)CC(=O)O,0.28
OC1[C@@H](OC(CO)CC1O)O[C@]1(CO)O[C@H](CO)C(Cl)C1O,0.301029996
CC(C)(C)OC(=O)CCNC(=O)[C@H](N)CC(=O)O,0.36
O=C(CCC)OCC(NC(=O)[C@H](N)CC(=O)O)C(C)C,0.4
CC(C)CNS(=O)(=O)O[Na],0.46
O=C(NC(CCC)C(=O)OC)[C@H](N)CC(=O)O,0.46
O=C(NC(CC)C(C)=O)[C@H](N)CC(=O)O,0.48
CC(C)(C)OC(=O)C(C)CNC(=O)[C@H](N)CC(=O)O,0.51
CC(C)OC(=O)CC(NC(=O)[C@H](N)CC(=O)O)C(C)CC,0.53
O=S(=O)(NCCCC)O[Na],0.54
O=C(CCC)OCCNC(=O)[C@H](N)CC(=O)O,0.56
Fc1cc(CCNC(=O)[C@H](N)CC(=O)O)ccc1,0.57
O=C(CCC)OC[C@H](CO)NC(=O)[C@H](N)CC(=O)O,0.58
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)CCCC,0.6
CC(CC)OC(=O)CC(C)NC(=O)[C@H](N)CC(=O)O,0.6
CCC(CC)OC(=O)CCNC(=O)[C@H](N)CC(=O)O,0.6
O=C(NC(CC(=O)OC)C(=O)OC)[C@H](N)CC(=O)O,0.6
OC1[C@@H](OC(CCl)[C@H](Cl)C1O)O[C@]1(CO)O[C@H](CCl)C(Cl)C1O,0.602059991
O=C(CC)OCCNC(=O)[C@H](N)CC(=O)O,0.61
O=C(OC1CCCCC1)CC(C)NC(=O)[C@H](N)CC(=O)O,0.64
O=C(C)OCC(CCC)NC(=O)[C@H](N)CC(=O)O,0.66
CC(C)(C)OC(=O)CC(C)NC(=O)[C@H](N)CC(=O)O,0.68
O=C(CC(C)NC(=O)[C@H](N)CC(=O)O)OCCCCC,0.68
CC(CCC)OC(=O)CCNC(=O)[C@H](N)CC(=O)O,0.68
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CO)O[C@H](CO)C(O)C1O,0.698970004
OC1[C@@H](OC(CO)[C@H](O)C1O)O[C@]1(CO)O[C@H](CCl)C(Cl)C1O,0.698970004
CC(C)OC(=O)CCNC(=O)[C@H](N)CC(=O)O,0.7
CC(CC)OC(=O)CCNC(=O)[C@H](N)CC(=O)O,0.73
O=S(=O)(NCCC(C)C)O[Na],0.83
CC(C)OC(=O)CC(C)NC(=O)[C@H](N)CC(=O)O,0.84
O=C(O)C[C@@H](N)C(=O)NCCC1CCCCC1,0.85
O=C(O)C[C@@H](N)C(=O)NC(COC(=O)c1ccccc1)C(=O)OC,0.88
O=C(OC1CCCC1)C(C)CNC(=O)[C@H](N)CC(=O)O,0.88
O=C(CC(C)NC(=O)[C@H](N)CC(=O)O)c1ccccc1,0.89
O=C(O)C[C@@H](N)C(=O)NC(C)(C)Cc1ccccc1,0.89
O=C(CC(C)NC(=O)[C@H](N)CC(=O)O)OCCCC,0.9
O=C(C)OCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,0.91
O=C(O)C[C@@H](N)C(=O)N[C@H](COC(=O)C1CCCC1)CO,0.92
[Na]OS(=O)(=O)Nc1nccs1,0.94
O=C(OC1CCCCC1)C(C)CNC(=O)[C@H](N)CC(=O)O,0.94
O=C(O)C[C@@H](N)C(=O)NC(C(C)c1ccccc1)C(=O)OC,0.95
O=C(CCNC(=O)[C@H](N)CC(=O)O)OCCC,0.98
O=C(O)C[C@@H](N)C(=O)NCCOC(=O)C1CCC1,0.99
[Na]OS(=O)(=O)NC1CCCC1,1
O=C(O)C[C@@H](N)C(=O)NCCOC(=O)C1CC1,1.03
O=C(NC(C)CC(=O)OC)[C@H](N)CC(=O)O,1.04
O=C(O)C[C@@H](N)C(=O)NC(COC(=O)C1CCC1)C(C)C,1.06
O=C(O)CC(NCCO)C(=O)NC(Cc1ccccc1)C(=O)OC,1.07
O=C(OCC(NC(=O)[C@H](N)CC(=O)O)C(C)C)C(C)C,1.1
CCOCCC(C)NC(=O)[C@H](N)CC(=O)O,1.14
O=C(NC(CC(C)C(=O)OC)C(=O)OC)C(N)CC(=O)O,1.15
O=C(NC(CC(C)C(=O)OC)C(=O)OC)[C@H](N)CC(=O)O,1.15
O=C(NC(C(O)CCC)C(=O)OC)C(N)CC(=O)O,1.16
O=C(CC(C)NC(=O)[C@H](N)CC(=O)O)OCC,1.16
O=C(O)C[C@@H](N)C(=O)NC(C)Cc1cc(CO)oc1,1.16
O=C(C)OC[C@H](CC)NC(=O)[C@H](N)CC(=O)O,1.16
O=C(NC(C(O)CCC)C(=O)OC)[C@H](N)CC(=O)O,1.16
O=C(OCCNC(=O)[C@H](N)CC(=O)O)C(C)C,1.16
O=C(CCNC(=O)[C@H](N)CC(=O)O)OC1CCCC1,1.16
O=C(NC(C)CCCCCC)[C@H](N)CC(=O)O,1.17
CC(=O)OC1C(=O)c2c(O)c(OC)c(O)cc2OC1c1ccc(O)cc1,1.176091259
O=S(=O)(O[Na])NCC1CCCC1,1.18
O=C(O)C[C@@H](N)C(=O)NC(C)COc1ccccc1,1.19
CC(C)(C)CNS(=O)(=O)O[Na],1.21
O=C(OC[C@H](CO)NC(=O)[C@H](N)CC(=O)O)C(C)CC,1.21
O=C(NC(CCC)C(C)=O)[C@H](N)CC(=O)O,1.21
O=C(O)C[C@@H](N)C(=O)NC(COC(=O)C1CC1)C(C)C,1.22
O=C(OC1CCCCC1)CCNC(=O)[C@H](N)CC(=O)O,1.22
O=C(C)OC[C@H](CO)NC(=O)[C@H](N)CC(=O)O,1.23
O=C(NC(CC(=O)OC)C(C)O)[C@H](N)CC(=O)O,1.26
O=S(=O)(NCC(C)CC)O[Na],1.29
O=C(CC(C)C)OC[C@H](CO)NC(=O)[C@H](N)CC(=O)O,1.3
Oc1ccc(cc1O)C1CC(=O)c2c(O)c(OC)c(O)cc2O1,1.301029996
OC1[C@@H](OC(CO)[C@H](O)C1O)O[C@]1(CCl)O[C@H](CCl)C(Cl)C1O,1.301029996
OC1[C@@H](OC(CO)[C@H](O)C1O)O[C@]1(CO)O[C@H](CCl)C(O)C1O,1.301029996
OC1[C@@H](OC(CO)[C@@H](O)C1O)O[C@]1(CC(O)[C@@H](CO)O1)CCl,1.301029996
OC1[C@@H](OC(CO)[C@@H](O)C1O)O[C@]1(CC(O)[C@@H](CCl)O1)CO,1.301029996
O1C(COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C(O)C1O[C@@]1(OC(CO)C(O)C1O)CO,1.34
O=C(NC(C(=O)OCC)C(=O)OCC)C(N)CC(=O)O,1.35
O=C(NC(CC(=O)OCC)C(=O)OCC)[C@H](N)CC(=O)O,1.35
O=C(CC(C)C)OCCNC(=O)[C@H](N)CC(=O)O,1.36
O=C(OC[C@H](CC)NC(=O)[C@H](N)CC(=O)O)C(C)C,1.38
O=C(O)C[C@@H](N)C(=O)N[C@H](COC(=O)C1CC1)CC,1.38
CC(=O)OC1C(=O)c2c(O)c(OC)c(O)cc2OC1c1ccc(O)c(O)c1,1.397940009
OC1[C@@H](OC(CCl)[C@H](O)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,1.397940009
O1C(CO)C(O)C(O)C(O)C1O[C@@H](C(O)C(O)C=O)C(O)CO,1.4
O1C(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C(O)C1O[C@@]1(OC(CO)C(O)C1O)CO,1.4
O=C(O)C[C@@H](N)C(=O)N[C@H](COC(=O)C1CCC1)CC,1.4
O=C(CC(NC(=O)[C@H](N)CC(=O)O)C(C)O)OCCCC,1.41
CCCNC(CC(=O)O)C(=O)NCCC,1.43
O=C(NC(C)CCCCC)[C@H](N)CC(=O)O,1.43
CC(C)OC(=O)CC(NC(=O)[C@H](N)CC(=O)O)CCC,1.43
O=C(CCC)OCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,1.43
O=S(=O)(NC1CCCCCCC1)O[Na],1.44
O=C(OC1CCCCC1)CC(NC(=O)[C@H](N)CC(=O)O)C(C)O,1.44
CC.O=C(O)CC(NCCC)C(=O)NC(Cc1ccccc1)CO,1.477
CC1=CC[C@@H](OC1=O)[C@@H](C)C1CCC2[C@@H]3CCC4[C@]5(C[C@@]35CC[C@]12C)CC[C@H](OOC[C@H]1O[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O)[C@@]4(C)C(=O)O,1.477121255
OC1[C@@H](OC(CO)[C@H](O)C1O)O[C@]1(CCl)O[C@H](CO)C(Cl)C1O,1.477121255
OC1[C@@H](OC(CO)[C@@H](O)C1O)O[C@]1(CC(Cl)[C@@H](CO)O1)CCl,1.477121255
O=C(OC[C@H](CO)NC(=O)[C@H](N)CC(=O)O)C(C)C,1.48
O=C(CC)OC[C@H](CC)NC(=O)[C@H](N)CC(=O)O,1.48
O=C(NC(CCCC)C(=O)OC)C(N)CC(=O)O,1.49
O=C(NC(CC(=O)OC)CO)[C@H](N)CC(=O)O,1.49
O=C(NC(CCCC)C(=O)OC)[C@H](N)CC(=O)O,1.49
O1C(C)C(O)C(O)C(O)C1O,1.5
Fc1cc(CC(C)NC(=O)[C@H](N)CC(=O)O)ccc1,1.5
O=S(=O)(NC1CCCCCC1)O[Na],1.53
CCCNC(CC(=O)O)C(=O)NCC,1.53
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)C(CC)CC,1.53
O=C(CC)OCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,1.53
O1C(CO)C(O)C(O)C(O)C1O[C@@H](C(O)C(O)CO)C(O)CO,1.54
O=C(NC(C)CCC(C)C)[C@H](N)CC(=O)O,1.54
O1C(CO)C(O)C(O)C(O)C1OC(C(O)C(O)CO)C(O)CO,1.544068044
Oc1ccc(cc1)C1Oc2c(C[C@@H]1O)c(O)cc(O)c2C1c2c(O)cc3O[C@@]4(Oc5cc(O)cc(O)c5[C@H](c3c2O[C@H](c2ccc(O)cc2)[C@@H]1O)C4O)c1ccc(O)cc1,1.544068044
O=C(CC(NC(=O)[C@H](N)CC(=O)O)CCC)OCCC,1.56
O=C(O)C[C@@H](N)C(=O)NC(C)Cc1ccccc1,1.56
O1C(CO)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1CO)O,1.561816664
O=C(C)OCC(NC(=O)[C@H](N)CC(=O)O)C(C)C,1.58
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)CCC,1.58
O=C(NC(C)C(C)CCCCC)[C@H](N)CC(=O)O,1.58
O1CC(O)C(O)C(O)C1OC1COC(O)C(O)C1O,1.6
CCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC,1.6
O=C(O)CC(NC[C@@H](O)CO)C(=O)NC(Cc1ccccc1)C(=O)OC,1.6
O=C(CC)OCC(NC(=O)[C@H](N)CC(=O)O)C(C)C,1.6
O=C(NC(C)CCCC)[C@H](N)CC(=O)O,1.6
CCSCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,1.6
OC1[C@@H](OC(CO)[C@H](F)C1O)O[C@]1(CF)O[C@H](CF)C(O)C1O,1.602059991
O=S(=O)(O[Na])NC1CCCCC1,1.61
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)C,1.61
O1C(CO)C(O)C(O)C(O)C1O[C@H]1OC(CO)C(O)C(O)C1O,1.63
O1C(CO)C(O)C(O)C(O)C1OCC1O[C@](O)(CO)C(O)C1O,1.63447727
CCCNC(CC(=O)O)C(=O)NCCCC,1.65
O=C(OCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC)C(C)C,1.65
O1C(CO)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,1.653212514
O1C(CO)C(O)C(O)C(O)C1OCC(O)C(O)C(O)C(=O)CO,1.68
CC1CC1C(=O)OC[C@H](C)NC(=O)[C@H](N)CC(=O)O,1.68
CC1=CC[C@@H](OC1=O)[C@@H](C)C1CCC2[C@@H]3CC[C@H]4[C@@](C)([C@@H](O[C@@H]5O[C@H](COO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5C[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@@]44C[C@@]34CC[C@]12C)C(=O)O,1.698970004
CC.CC(C)(O)/C=C/C[C@](C)(O)C1CCC2(C)C1[C@@H](CC1[C@@](C)(CCC(=O)O)C(CC[C@]12C)C(=C)C)OCC(=C)C1C[C@H]2C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]3[C@H](CC[C@@]3(C)[C@]2(C)CC1)[C@@](C)(O)C\C=C\O,1.698970004
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CO)O[C@H](CCl)C(O)C1O,1.698970004
O1C(CO)C(O)C(O)C(O)C1O[C@@H](C(O)C(=O)CO)C(O)CO,1.7
O1C(CO)C(O)C(O)C(O)C1OC(C(O)C(O)C(=O)CO)CO,1.7
O=C(O)C[C@@H](N)C(=O)N[C@@H](C)COC(=O)C1CCCC1,1.7
O=C(O)C[C@@H](N)C(=O)N[C@H](COC(=O)C1CCC1)CO,1.71
O1C(CO)C(O)C(O)C(O)C1O,1.72
O=C(OC1CCCCC1)CC(CO)NC(=O)[C@H](N)CC(=O)O,1.72
O1C(CO)C(O)C(O)C(O)C1OCC(O)C(O)C(O)C(O)CO,1.73
OC(C(NC(=O)C)C=O)C(O)C(O)CO,1.74
O=CC1C=2CC(O[C@@H]3OC[C@H](O)C(O)C3O)C3[C@](C)(CCC[C@]3(C)CO)C=2CC\C1=C\CO,1.740362689
O=C(CC(CO)NC(=O)[C@H](N)CC(=O)O)OCCCC,1.75
O1C(CO)C(O)C(O)C(O)C1OC1C(O)[C@@](OC1CO)(O)CO,1.755874856
OC(C(O)C(O)CO)C(O)CO,1.76
OC(C(O)CO)CO,1.8
OC(C(O)C(O)C=O)C(O)CO,1.81
CCCNC(CC(=O)O)C(=O)NCC(C)C,1.81
O=C(OCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC)C(C)(C)C,1.81
OC(C(O)CO)C(O)C=O,1.84
OC(C(O)C(O)C)C(O)C=O,1.84
O1CC(O)C(O)C(O)[C@]1(O)CO,1.85
O=S(=O)(NC1CC2CCC1C2)O[Na],1.85
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)C=C,1.85
C[C@H](NC(=O)[C@H](N)CC(=O)O)COC(=O)CC,1.86
O=C(CC(C)NC(=O)[C@H](N)CC(=O)O)OCCC,1.86
O=C(OC1CCC(C)CC1)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,1.87
O=C(O)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](COO)O[C@H]2O[C@H]2CC[C@@]34C[C@@]54CC[C@]4(C)C(CCC4[C@@H]5CC[C@H]3[C@]2(C)C(=O)O)[C@H](C)[C@H]2CC=C(C)C(=O)O2)[C@H](O)[C@@H](O)[C@@H]1O,1.875061263
OC1[C@@H](OC(CO)[C@H](O)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,1.880813592
O=C(NC(CCCCC)C(=O)OC)C(N)CC(=O)O,1.9
O=C(NC(CCCCC)C(=O)OC)[C@H](N)CC(=O)O,1.9
CC(=O)OC1C(=O)c2c(cc(O)cc2O)OC1c1ccc(O)c(O)c1,1.903089987
OC1[C@@H](OC(CO)[C@@H](O)C1O)O[C@]1(CC(O)[C@@H](CCl)O1)CCl,1.903089987
OC1[C@@H](OC(CO)[C@@H](O)C1O)O[C@]1(CC(O)[C@@H](CBr)O1)CBr,1.903089987
O=C(CC(NC(=O)[C@H](N)CC(=O)O)CO)OCC,1.92
O=C(CC(NC(=O)[C@H](N)CC(=O)O)C(C)O)OCC,1.93
CC(C)OC(=O)CC(NC(=O)[C@H](N)CC(=O)O)C(C)O,1.93
