id,reactants>reagents>production
US04613463,c1ccc([O:5][C:3]([C@@:2]2([OH:1])[CH2:12][CH2:13][C@H:14]3[C@@H:15]4[CH2:16][CH2:17][C:18]5=[CH:19][C:20](=[O:30])[CH2:21][CH2:22][C@:23]5([CH3:24])[C:25]4=[CH:26][CH2:27][C@:28]23[CH3:29])=[CH2:4])cc1.[OH-:45].C[C:48](=[O:49])[CH3:50]>>[OH:1][C@:2]1([C:3](=[O:4])[CH2:5][O:49][C:48](=[O:45])[CH3:50])[CH2:12][CH2:13][C@H:14]2[C@@H:15]3[CH2:16][CH2:17][C:18]4=[CH:19][C:20](=[O:30])[CH2:21][CH2:22][C@:23]4([CH3:24])[C:25]3=[CH:26][CH2:27][C@:28]12[CH3:29]
US08198449B2,O[C:37]([c:11]1[c:10](-[c:7]2[cH:6][cH:5][c:4]([F:3])[cH:9][cH:8]2)[o:36][c:13]2[c:12]1[cH:17][c:16](-[c:18]1[cH:19][c:20]([C:24]([NH:25][C:26]([CH3:27])([CH3:28])[c:29]3[cH:30][cH:31][cH:32][cH:33][cH:34]3)=[O:35])[cH:21][cH:22][cH:23]1)[cH:15][n:14]2)=[O:38].CC(C)[N:42](C(C)C)[CH2:41]C>>[F:3][c:4]1[cH:5][cH:6][c:7](-[c:10]2[c:11]([C:37](=[O:38])[NH:42][CH3:41])[c:12]3[c:13]([n:14][cH:15][c:16](-[c:18]4[cH:19][c:20]([C:24]([NH:25][C:26]([CH3:27])([CH3:28])[c:29]5[cH:30][cH:31][cH:32][cH:33][cH:34]5)=[O:35])[cH:21][cH:22][cH:23]4)[cH:17]3)[o:36]2)[cH:8][cH:9]1
US06191140B1,c1ccc(C[N:8]2[CH2:9][C:10](=[O:31])[C:11]3=[C:16]([NH:15][C:14]4=[C:13]([CH:12]3[c:23]3[cH:24][c:25]([Br:30])[c:26]([F:29])[cH:27][cH:28]3)[C:21](=[O:22])[CH2:20][O:19][CH2:18]4)[CH2:17]2)cc1.Cl[C:33](=[O:34])[O:35][CH:36]=[CH2:37]>>[N:8]1([C:33](=[O:34])[O:35][CH:36]=[CH2:37])[CH2:9][C:10](=[O:31])[C:11]2=[C:16]([NH:15][C:14]3=[C:13]([CH:12]2[c:23]2[cH:24][c:25]([Br:30])[c:26]([F:29])[cH:27][cH:28]2)[C:21](=[O:22])[CH2:20][O:19][CH2:18]3)[CH2:17]1
US07220766B2,[O:1]1[CH2:2][CH2:3][O:4][c:5]2[c:6]1[cH:7][cH:8][c:9]([CH2:11][OH:12])[cH:10]2.O[c:33]1[cH:32][cH:31][c:30]([CH2:29][C@H:24]([NH:23][C:16]2=[N:15][S:14](=[O:13])(=[O:37])[c:18]3[c:17]2[cH:22][cH:21][cH:20][cH:19]3)[C:25](=[O:26])[O:27][CH3:28])[cH:35][cH:34]1>>[O:1]1[CH2:2][CH2:3][O:4][c:5]2[c:6]1[cH:7][cH:8][c:9]([CH2:11][O:12][c:33]1[cH:32][cH:31][c:30]([CH2:29][C@H:24]([NH:23][C:16]3=[N:15][S:14](=[O:13])(=[O:37])[c:18]4[c:17]3[cH:22][cH:21][cH:20][cH:19]4)[C:25](=[O:26])[O:27][CH3:28])[cH:35][cH:34]1)[cH:10]2
US08536157B2,O=[C:1]([CH3:2])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[N+:11](=[O:12])([O-:13])[c:14]1[cH:15][cH:16][c:17]([CH2:18][O:19][NH2:20])[cH:21][cH:22]1>>[C:1](\[CH3:2])([c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)=[N:20]\[O:19][CH2:18][c:17]1[cH:16][cH:15][c:14]([N+:11](=[O:12])[O-:13])[cH:22][cH:21]1
US07888364B2,C[O:30][C:28]([c:27]1[cH:26][n:25][c:24]([C:22]([NH:21][CH:18]([CH3:19])[CH3:20])=[O:23])[cH:33][cH:32]1)=[O:29]>>[CH:18]([CH3:19])([CH3:20])[NH:21][C:22](=[O:23])[c:24]1[n:25][cH:26][c:27]([C:28](=[O:29])[OH:30])[cH:32][cH:33]1
US08765727B2,Br[CH2:2][CH2:3][CH2:4][c:5]1[cH:6][c:7]([NH:11][c:12]2[n:13][cH:14][c:15]([Cl:28])[c:16]([NH:18][CH2:19][CH2:20][c:21]3[cH:22][c:23]([OH:27])[cH:24][cH:25][cH:26]3)[n:17]2)[cH:8][cH:9][cH:10]1>>[CH2:2]1[CH2:3][CH2:4][c:5]2[cH:6][c:7]([cH:8][cH:9][cH:10]2)[NH:11][c:12]2[n:13][cH:14][c:15]([Cl:28])[c:16]([n:17]2)[NH:18][CH2:19][CH2:20][c:21]2[cH:22][c:23]([cH:24][cH:25][cH:26]2)[O:27]1
US05663200,Cl[CH2:6][c:5]1[cH:4][c:3]2[c:10]([cH:9][cH:8]1)[O:11][CH2:1][O:2]2.[I-:16]>>[CH2:1]1[O:2][c:3]2[cH:4][c:5]([CH2:6][I:16])[cH:8][cH:9][c:10]2[O:11]1
US08835472B2,[CH2:1]([CH3:2])[O:3][c:4]1[cH:5][cH:6][c:7]([C:10]#[CH:11])[cH:8][cH:9]1.Br[c:24]1[cH:23][cH:22][c:21]([CH:19]([NH:18][C:17]([O:16][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:28])[CH3:20])[cH:26][cH:25]1>>[CH2:1]([CH3:2])[O:3][c:4]1[cH:5][cH:6][c:7]([C:10]#[C:11][c:24]2[cH:23][cH:22][c:21]([CH:19]([NH:18][C:17]([O:16][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:28])[CH3:20])[cH:26][cH:25]2)[cH:8][cH:9]1
US07018685B2,O[CH:30]([c:23]1[c:22]([F:34])[c:21]2[c:26]([cH:25][cH:24]1)-[c:27]1[c:19]([c:18]([F:35])[c:17]([O:16][CH2:12][CH2:13][CH2:14][CH3:15])[cH:29][cH:28]1)[CH2:20]2)[CH2:31][CH3:32]>>[CH2:12]([CH2:13][CH2:14][CH3:15])[O:16][c:17]1[c:18]([F:35])[c:19]2[c:27]([cH:28][cH:29]1)-[c:26]1[c:21]([c:22]([F:34])[c:23]([CH2:30][CH2:31][CH3:32])[cH:24][cH:25]1)[CH2:20]2
