Index,SMILES,logP,QED,Template_idx,Sub_idx
0,O=S(=O)(/N=C(\[O-])c1cccc(F)c1)c1ccn(CN2CCC[C@@]3(CO3)C2)c1,0.9453,0.4292531878723356,1894,[7050]
1,CC(=O)/C(C#N)=C1/NC(c2ccc3c(c2)OCO3)=C[SH]1c1sc2ccccc2c1Cl,5.569480000000004,0.3073261682159276,2518,[1189]
2,C[C@@H]1Cc2cc(S(=O)(=O)CCC=O)ccc2N1NC=C1C(=O)CC(C)(C)CC1=O,2.1470000000000002,0.429077996944536,130,[9049]
3,C/C([O-])=N/S(=O)(=O)c1ccc(C)c(C)c1-c1c(C#N)cnc2c(C)cc(C)cc12,3.474560000000002,0.4889045610376892,453,[7903]
4,C[C@@]1([NH3+])CCCc2ccc(C3[C@@H](/N=C/c4ccoc4)[C@H](O)CS3(=O)=O)cc21,1.3910999999999993,0.7735476167448416,1469,[42]
5,Cc1cc(S(=O)(=O)/N=c2\[nH]cccc2N2CC[NH+](C)c3ccccc32)c(F)cc1F,2.1888199999999998,0.6680975894299677,2956,[9110]
6,CC(=O)C1=C(N2CCCCC2c2sc3cc(F)ccc3c2Cl)[CH]OC1=O,4.782490000000004,0.5566026758413052,1141,[6612]
7,O=S1(=O)N=CN(N2[CH]C[C@@H](c3cccc4ccccc34)n3ncnc32)c2ccccc21,3.5447900000000025,0.48464607748778654,1237,[5186]
8,Cc1ccc(S(=O)(=O)N/N=C/c2cccs2)cc1[C@@H]1C[C@H](C)N(C)C1,3.176520000000002,0.6429859708656285,2363,[6500]
9,CC1=NN(CC(C)C)c2nc3c(c(=O)n(C)c(=O)n3C)n2C1N/C=C1/C(=O)NN=C1c1ccccc1,0.7918000000000013,0.5098170954105445,3179,[9366]
10,C[C@@H]([NH3+])[C@H](C[C@H]1[CH]C2c3ccccc3C1c1ccccc12)C(F)(F)F,4.296890000000002,0.8591343222711041,1930,[4238]
11,O=C(CCCO)N/N=C/c1ccc([N+](=O)[O-])cc1CN1C(=O)CNC(=O)c2ccccc21,1.0939999999999999,0.31780225237411924,1711,[6908]
12,CCCC[C@@](CC)(C[NH3+])Cc1ccccc1[C@@H]1C2=C(C[CH]CC2=O)Nc2onc(C)c21,4.732710000000003,0.6452595198929117,356,[5566]
